Script started on 2025-10-13 22:47:07+03:00 [TERM="xterm-256color" TTY="/dev/pts/0" COLUMNS="87" LINES="43"]
[?2004h]0;mrgrey@codeby: ~/codeby-devops/lesson4[01;32mmrgrey@codeby[00m:[01;34m~/codeby-devops/lesson4[00m$ ps aux
[?2004lUSER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root           1  0.3  0.4  25292 15748 ?        Ss   22:19   0:05 /sbin/init auto auto
mrgrey      2713  0.0  0.2 458272  7332 ?        Ssl  22:20   0:00 /usr/libexec/gsd-rfk
mrgrey      2716  0.0  0.1 310356  6548 ?        Ssl  22:20   0:00 /usr/libexec/gsd-scr
mrgrey      2717  0.0  0.3 469056 11508 ?        Ssl  22:20   0:00 /usr/libexec/gsd-sha
mrgrey      2718  0.0  0.2 386768  8612 ?        Ssl  22:20   0:00 /usr/libexec/gsd-sma
mrgrey      2719  0.0  0.2 257520  9680 ?        Ssl  22:20   0:00 /usr/libexec/gsd-sou
mrgrey      2720  0.0  0.6 414060 21568 ?        Ssl  22:20   0:00 /usr/libexec/gsd-wac
mrgrey      2727  0.0  0.2 306568  7796 ?        Sl   22:20   0:00 /usr/libexec/gsd-dis
mrgrey      2736  0.0  1.8 840632 65208 ?        Sl   22:20   0:00 /usr/libexec/evoluti
mrgrey      2751  0.0  0.7 522892 24436 ?        Sl   22:20   0:00 /usr/libexec/goa-dae
mrgrey      2761  0.2  1.1 153304 39932 ?        Sl   22:20   0:03 /usr/bin/vmtoolsd -n
mrgrey      2908  0.0  0.3 463676 11372 ?        Ssl  22:20   0:00 /usr/libexec/gvfs-ud
mrgrey      2927  0.0  0.7 895608 25412 ?        Ssl  22:20   0:00 /usr/libexec/evoluti
mrgrey      2939  0.0  0.2 245728  7600 ?        Sl   22:20   0:00 /usr/libexec/ibus-dc
mrgrey      2942  0.2  0.9 424184 32488 ?        Sl   22:20   0:03 /usr/libexec/ibus-ex
mrgrey      2949  0.0  0.2 311224  7592 ?        Sl   22:20   0:00 /usr/libexec/ibus-po
mrgrey      2958  0.0  0.4 417772 14664 ?        Sl   22:20   0:00 /usr/libexec/gsd-pri
mrgrey      2972  0.0  0.2 390652  9624 ?        Sl   22:20   0:00 /usr/libexec/goa-ide
mrgrey      2987  0.0  0.8 828040 29396 ?        Ssl  22:20   0:00 /usr/libexec/evoluti
mrgrey      2988  0.0  0.3  39136 11780 ?        Ss   22:20   0:00 /snap/snapd-desktop-
mrgrey      3006  0.0  0.2 311648  7368 ?        Ssl  22:20   0:00 /usr/libexec/gvfs-gp
mrgrey      3031  0.0  0.2 392512  8692 ?        Ssl  22:20   0:00 /usr/libexec/gvfs-af
mrgrey      3049  0.0  0.1 310524  6624 ?        Ssl  22:20   0:00 /usr/libexec/gvfs-go
mrgrey      3067  0.0  0.2 310672  6984 ?        Ssl  22:20   0:00 /usr/libexec/gvfs-mt
mrgrey      3068  0.0  0.8 429608 30764 ?        Sl   22:20   0:00 /snap/snapd-desktop-
mrgrey      3110  0.0  0.2 172028  7688 ?        Sl   22:20   0:00 /usr/libexec/ibus-en
mrgrey      3135  0.0  0.1 165320  6056 ?        Ssl  22:20   0:00 /usr/libexec/dconf-s
mrgrey      3143  0.0  0.1 171680  6848 ?        Ssl  22:20   0:00 /usr/libexec/gvfsd-m
mrgrey      3144  0.0  0.2 537056  9376 ?        Sl   22:20   0:00 /usr/libexec/gvfsd-t
mrgrey      3178  0.0  2.4 494672 84164 ?        Ssl  22:20   0:00 /usr/libexec/gsd-xse
mrgrey      3188  0.0  0.5 706108 18780 ?        Ssl  22:20   0:00 /usr/libexec/xdg-des
mrgrey      3197  0.0  0.8 736912 28396 ?        SNsl 22:20   0:00 /usr/libexec/localse
mrgrey      3198  0.0  1.1 531108 40880 ?        Ssl  22:20   0:00 /usr/libexec/xdg-des
mrgrey      3201  0.0  0.8 2733712 28304 ?       Sl   22:20   0:00 /usr/bin/gjs -m /usr
mrgrey      3219  0.0  2.9 741940 100692 ?       Sl   22:20   0:00 /usr/libexec/mutter-
mrgrey      3248  0.0  0.3 179408 13208 ?        Sl   22:20   0:00 /usr/libexec/ibus-x1
mrgrey      3287  0.0  1.9 2992916 66992 ?       Sl   22:20   0:01 gjs /usr/share/gnome
root        3296  0.0  0.0      0     0 ?        I<   22:20   0:00 [kworker/u516:7-ttm]
